document_id,source_url,url_basename,entity_class_raw,title
md_13159,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/151MD.PDF,151MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Directions, 2025 (Updated as on July 01, 2026)"
md_13160,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/150MD.PDF,150MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Directions, 2025 (Updated as on June 19, 2026)"
md_13161,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/149MD.PDF,149MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks - Governance) Directions, 2025"
md_13162,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/148MD.PDF,148MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Undertaking of Financial Services) Directions, 2025 (Updated as on July 01, 2026)"
md_13163,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/380MD.PDF,380MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Digital Banking Channels Authorisation) Directions, 2025"
md_13164,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/147MD.PDF,147MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks - Branch Authorisation) Directions, 2025"
md_13165,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/146MD.PDF,146MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Voluntary Amalgamation) Directions, 2025"
md_13166,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/145MD.PDF,145MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Acquisition and Holding of Shares or Voting Rights) Directions, 2025"
md_13167,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/144MD.PDF,144MD.PDF,Commercial Banks,"Reserve Bank of India (Setting Up of Wholly Owned Subsidiaries by Foreign Banks) Guidelines, 2025 (Updated as on April 1, 2026)"
md_13168,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/143MD.PDF,143MD.PDF,Commercial Banks,"Reserve Bank of India (Universal Banks – Licensing) Guidelines, 2025"
