entity_class,subject_family,subject_family_raw,document_id,source_url,title,category_heading
Urban Co-operative Banks,Responsible Business Conduct,Responsible Business Conduct,md_13013,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/292MD76099C95D4BD4139A4EBCDA2F50BEFA2.PDF,"Reserve Bank of India (Urban Co-operative Banks – Responsible Business Conduct) Directions, 2025 (Updated as on July 1, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,Know Your Customer,Know Your Customer,md_13014,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/291MDE108E59AC43D4C13B2D06598B296C877.PDF,"Reserve Bank of India (Urban Co-operative Banks – Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)",Urban Co-operative Banks
Urban Co-operative Banks,Prudential Norms on Declaration of Dividends,Prudential Norms on Declaration of Dividends,md_13015,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/290MD616350878BDB425AB674BD8F44CECA6F.PDF,"Reserve Bank of India (Urban Co-operative Banks – Prudential Norms on Declaration of Dividends) Directions, 2025",Urban Co-operative Banks
Urban Co-operative Banks,Financial Statements: Presentation and Disclosures,Financial Statements: Presentation and Disclosures,md_13016,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/289MDA4C31A1342334925BEA8860F1C07A2E2.PDF,"Reserve Bank of India (Urban Co-operative Banks – Financial Statements: Presentation and Disclosures) Directions, 2025 (Updated as on April 1, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,Treatment of Wilful Defaulters and Large Defaulters,Treatment of Wilful Defaulters and Large Defaulters,md_13017,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/288MDFF01AB60686C42C3A362F83E87392224.PDF,"Reserve Bank of India (Urban Co-operative Banks – Treatment of Wilful Defaulters and Large Defaulters) Directions, 2025",Urban Co-operative Banks
Urban Co-operative Banks,Resolution of Stressed Assets,Resolution of Stressed Assets,md_13018,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/287MDF9C64E970EA74C16A6FEAB59052A0F72.PDF,"Reserve Bank of India (Urban Co-operative Banks – Resolution of Stressed Assets) Directions, 2025 (Updated as on July 1, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,"Income Recognition, Asset Classification and Provisioning","Income Recognition, Asset Classification and Provisioning",md_13019,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/286MD85DCC2671BCB41DC8B0714812DAB799A.PDF,"Reserve Bank of India (Urban Co-operative Banks – Income Recognition, Asset Classification and Provisioning) Directions, 2025 (updated as on July 01, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,Asset Liability Management,Asset Liability Management,md_13020,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/285MDF435283E73444E45A54EC8764ABCC848.PDF,"Reserve Bank of India (Urban Co-operative Banks – Asset Liability Management) Directions, 2025",Urban Co-operative Banks
Urban Co-operative Banks,"Classification, Valuation and Operation of Investment Portfolio","Classification, Valuation and Operation of Investment Portfolio",md_13021,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/284MD47AE1D934ED549E2AEB98E30D3A85A57.PDF,"Reserve Bank of India (Urban Co-operative Banks – Classification, Valuation and Operation of Investment Portfolio) Directions, 2025 (Updated as on May 18, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,Interest Rates on Advances,Interest Rates on Advances,md_13022,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/283MDC3CE849D1EE047478359BA164A180EB2.PDF,"Reserve Bank of India (Urban Co-operative Banks – Interest Rates on Advances) Directions, 2025",Urban Co-operative Banks
Urban Co-operative Banks,Transfer and Distribution of Credit Risk,Transfer and Distribution of Credit Risk,md_13023,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/282MD963601BD314543AD8105FDAFACD3AA91.PDF,"Reserve Bank of India (Urban Co-operative Banks – Transfer and Distribution of Credit Risk) Directions, 2025",Urban Co-operative Banks
Urban Co-operative Banks,Concentration Risk Management,Concentration Risk Management,md_13024,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/281MD5AD018D50ACD4B10AF51DD504AD3DDB3.PDF,"Reserve Bank of India (Urban Co-operative Banks – Concentration Risk Management) Directions, 2025",Urban Co-operative Banks
Urban Co-operative Banks,Credit Risk Management,Credit Risk Management,md_13025,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/280MD71ABEC5E655C4CE7816646F849E5CB29.PDF,"Reserve Bank of India (Urban Co-operative Banks – Credit Risk Management) Directions, 2025 (Updated as on July 01, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,Credit Information Reporting,Credit Information Reporting,md_13026,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/279MD3334DC0D4F8F43068FA37F74DED62382.PDF,"Reserve Bank of India (Urban Co-operative Banks – Credit Information Reporting) Directions, 2025 (Updated as on July 01, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,Credit Cards and Debit Cards: Issuance and Conduct,Credit Cards and Debit Cards: Issuance and Conduct,md_13027,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/278MD2C704B1C34BF4E1BB8F6B710190D4E6C.PDF,"Reserve Bank of India (Urban Co-operative Banks – Credit Cards and Debit Cards: Issuance and Conduct) Directions, 2025",Urban Co-operative Banks
Urban Co-operative Banks,Credit Facilities,Credit Facilities,md_13028,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/277MDFF00147367D64F02899A3A756CDA9093.PDF,"Reserve Bank of India (Urban Co-operative Banks – Credit Facilities) Directions, 2025 (Updated as on July 15, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,Interest Rate on Deposits,Interest Rate on Deposits,md_13029,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/276MD926CB0F1D85C4C7981A81F01AAEE0D13.PDF,"Reserve Bank of India (Urban Co-operative Banks – Interest Rate on Deposits) Directions, 2025 (Updated as on June 17, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,Prudential Norms on Capital Adequacy,Prudential Norms on Capital Adequacy,md_13030,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/275MD3D20366A706C4C13B4FA21A3DC0451A1.PDF,"Reserve Bank of India (Urban Co-operative Banks - Prudential Norms on Capital Adequacy) Directions, 2025 (Updated as on June 16, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,Cash Reserve Ratio and Statutory Liquidity Ratio,Cash Reserve Ratio and Statutory Liquidity Ratio,md_13031,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/274MD3A0AEE03DF1B4F39BB0F0B91BFC73A05.PDF,"Reserve Bank of India (Urban Co-operative Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Directions, 2025 (Updated as on June 19, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,Governance,Governance,md_13032,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/273MD1E2C8ADF7F3D4881933547E0AAABCFA4.PDF,"Reserve Bank of India (Urban Co-operative Banks - Governance) Directions, 2025 (Updated as on May 25, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,Undertaking of Financial Services,Undertaking of Financial Services,md_13033,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/272MD6C9694D129BC4A769CBCD6B206A345B5.PDF,"Reserve Bank of India (Urban Co-operative Banks – Undertaking of Financial Services) Directions, 2025 (Updated as on April 27, 2026)",Urban Co-operative Banks
Urban Co-operative Banks,Digital Banking Channels Authorisation,Digital Banking Channels Authorisation,md_13034,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/385MDE9EEBCE5D5EA40C5AD9FD122507E94F8.PDF,"Reserve Bank of India (Urban Co-operative Banks – Digital Banking Channels Authorisation) Directions, 2025",Urban Co-operative Banks
Urban Co-operative Banks,Voluntary Amalgamation,Voluntary Amalgamation,md_13036,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/270MD0F410014D53F4900814935480D096DDA.PDF,"Reserve Bank of India (Urban Co-operative Banks – Voluntary Amalgamation) Directions, 2025",Urban Co-operative Banks
Rural Co-operative Banks,Managing Risks in Outsourcing,Managing Risks in Outsourcing,md_12986,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/318MDE0794991DA36479EAF4267E99E78C5D4.PDF,"Reserve Bank of India (Rural Co-operative Banks – Managing Risks in Outsourcing) Directions, 2025",Rural Co-operative Banks
Rural Co-operative Banks,Responsible Business Conduct,Responsible Business Conduct,md_12987,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/317MD887462600A924B8CB0DD389AC78041C5.PDF,"Reserve Bank of India (Rural Co-operative Banks – Responsible Business Conduct) Directions, 2025 (Updated as on July 1, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,Know Your Customer,Know Your Customer,md_12988,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/316MDC827AC45BD1248DFB272637379D4128C.PDF,"Reserve Bank of India (Rural Co-operative Banks – Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)",Rural Co-operative Banks
Rural Co-operative Banks,Prudential Norms on Declaration of Dividends,Prudential Norms on Declaration of Dividends,md_12989,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/315MDD4D6D28D4BD84F84A93DBB459D696D04.PDF,"Reserve Bank of India (Rural Co-operative Banks – Prudential Norms on Declaration of Dividends) Directions, 2025",Rural Co-operative Banks
Rural Co-operative Banks,Financial Statements: Presentation and Disclosures,Financial Statements: Presentation and Disclosures,md_12990,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/314MD105FDB4D92954DC8A332FDDD468727E2.PDF,"Reserve Bank of India (Rural Co-operative Banks – Financial Statements: Presentation and Disclosures) Directions, 2025 (Updated as on April 1, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,Treatment of Wilful Defaulters and Large Defaulters,Treatment of Wilful Defaulters and Large Defaulters,md_12991,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/313MD02F712F901B74064B5DFB5389AAF4635.PDF,"Reserve Bank of India (Rural Co-operative Banks – Treatment of Wilful Defaulters and Large Defaulters) Directions, 2025",Rural Co-operative Banks
Rural Co-operative Banks,Resolution of Stressed Assets,Resolution of Stressed Assets,md_12992,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/312MDED63664A2FAD47AAA2AF35B21B42D891.PDF,"Reserve Bank of India (Rural Co-operative Banks – Resolution of Stressed Assets) Directions, 2025 (Updated as on July 01, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,"Income Recognition, Asset Classification and Provisioning","Income Recognition, Asset Classification and Provisioning",md_12993,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/311MD325E093FC9B14A5E8D968E2BFC9A7CE2.PDF,"Reserve Bank of India (Rural Co-operative Banks – Income Recognition, Asset Classification and Provisioning) Directions, 2025  (Updated as on July 01, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,Asset Liability Management,Asset Liability Management,md_12994,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/310MDB3001389A9CC4E929E5C95170219D08C.PDF,"Reserve Bank of India (Rural Co-operative Banks – Asset Liability Management) Directions, 2025",Rural Co-operative Banks
Rural Co-operative Banks,"Classification, Valuation and Operation of Investment Portfolio","Classification, Valuation and Operation of Investment Portfolio",md_12995,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/309MDA721C4C88C1C47618967DEE0A5DD8ECF.PDF,"Reserve Bank of India (Rural Co-operative Banks – Classification, Valuation and Operation of Investment Portfolio) Directions, 2025 (Updated as on May 18, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,Interest Rates on Advances,Interest Rates on Advances,md_12996,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/308MD5EFEC2756D6C49D89939321BFA1112ED.PDF,"Reserve Bank of India (Rural Co-operative Banks – Interest Rates on Advances) Directions, 2025",Rural Co-operative Banks
Rural Co-operative Banks,Transfer and Distribution of Credit Risk,Transfer and Distribution of Credit Risk,md_12997,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/307MDA2E3C66F4060495EB4262788206D4624.PDF,"Reserve Bank of India (Rural Co-operative Banks – Transfer and Distribution of Credit Risk) Directions, 2025",Rural Co-operative Banks
Rural Co-operative Banks,Concentration Risk Management,Concentration Risk Management,md_12998,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/306MD1B2E712A2C85493B9597D742B7D0723D.PDF,"Reserve Bank of India (Rural Co-operative Banks – Concentration Risk Management) Directions, 2025",Rural Co-operative Banks
Rural Co-operative Banks,Credit Risk Management,Credit Risk Management,md_12999,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/305MDBAA8E20812664CD58C98C7436D919C49.PDF,"Reserve Bank of India (Rural Co-operative Banks – Credit Risk Management) Directions, 2025 (Updated as on July 01, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,Credit Information Reporting,Credit Information Reporting,md_13000,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/304MDB8CFC8C99FB2410A82F9022648786BD0.PDF,"Reserve Bank of India (Rural Co-operative Banks – Credit Information Reporting) Directions, 2025 (Updated as on July 01, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,Debit Cards: Issuance and Conduct,Debit Cards: Issuance and Conduct,md_13001,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/303MD6394576E32E84D3FA6634CBA70F0291A.PDF,"Reserve Bank of India (Rural Co-operative Banks – Debit Cards: Issuance and Conduct) Directions, 2025",Rural Co-operative Banks
Rural Co-operative Banks,Credit Facilities,Credit Facilities,md_13002,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/302MD9447AEE4C3A543AA970CAF17ECD0E440.PDF,"Reserve Bank of India (Rural Co-operative Banks – Credit Facilities) Directions, 2025 (Updated as on April 01, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,Interest Rate on Deposits,Interest Rate on Deposits,md_13003,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/301MD61FDD3EB323E49EEA9A1DFCE704E5BF9.PDF,"Reserve Bank of India (Rural Co-operative Banks – Interest Rate on Deposits) Directions, 2025 (Updated as on June 17, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,Prudential Norms on Capital Adequacy,Prudential Norms on Capital Adequacy,md_13004,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/300MDF58DB7A7A9564C0CA00ABE5D6A0A07F1.PDF,"Reserve Bank of India (Rural Co-operative Banks – Prudential Norms on Capital Adequacy) Directions, 2025 (Updated as on May 15, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,Cash Reserve Ratio and Statutory Liquidity Ratio,Cash Reserve Ratio and Statutory Liquidity Ratio,md_13005,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/299MDEC55794FB96E4E52A5B5D0893EBE36F6.PDF,"Reserve Bank of India (Rural Co-operative Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Directions, 2025 (Updated as on June 19, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,Governance,Governance,md_13006,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/298MD47439C1E67454650A666D90BDDE73AC3.PDF,"Reserve Bank of India (Rural Co-operative Banks - Governance) Directions, 2025 (Updated as on May 25, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,Undertaking of Financial Services,Undertaking of Financial Services,md_13007,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/297MD8B97C3B046D84D0BAA969029B3B4F39F.PDF,"Reserve Bank of India (Rural Co-operative Banks – Undertaking of Financial Services) Directions, 2025 (Updated as on April 27, 2026)",Rural Co-operative Banks
Rural Co-operative Banks,Digital Banking Channels Authorisation,Digital Banking Channels Authorisation,md_13008,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/386MD2EA5A2249DB94541B485F19F9D6CEC6C.PDF,"Reserve Bank of India (Rural Co-operative Banks – Digital Banking Channels Authorisation) Directions, 2025",Rural Co-operative Banks
Rural Co-operative Banks,Voluntary Amalgamation,Voluntary Amalgamation,md_13010,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/295MD1EAD13C6D93B44E98AB6A4353542054E.PDF,"Reserve Bank of India (Rural Co-operative Banks - Voluntary Amalgamation) Directions, 2025",Rural Co-operative Banks
Rural Co-operative Banks,Branch Authorisation,Branch Authorisation,md_13205,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/296MD3B084D4247B940E782DCF35DE02806CB.PDF,"Reserve Bank of India (Rural Co-operative Banks - Branch Authorisation) Directions, 2025",Rural Co-operative Banks
Rural Co-operative Banks,Miscellaneous,Miscellaneous,md_13202,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/319MDD6043B8B7A0A49CFA8C29881AE174DD6.PDF,"Reserve Bank of India (Rural Co-operative Banks – Miscellaneous) Directions, 2025",Rural Co-operative Banks
All India Financial Institutions,Miscellaneous,Miscellaneous,md_12966,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/338MD82DA791B78C840DA9CE556AD2F6A099E.PDF,"Reserve Bank of India (All India Financial Institutions – Miscellaneous) Directions, 2025",All India Financial Institutions
All India Financial Institutions,Managing Risks in Outsourcing,Managing Risks in Outsourcing,md_12967,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/337MD82046EB95DF047E7B6D4977E1D1B344E.PDF,"Reserve Bank of India (All India Financial Institutions – Managing Risks in Outsourcing) Directions, 2025",All India Financial Institutions
All India Financial Institutions,Responsible Business Conduct,Responsible Business Conduct,md_12968,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/336MDE82A669C159C41D09B212DDF2908364A.PDF,"Reserve Bank of India (All India Financial Institutions – Responsible Business Conduct) Directions, 2025 (Updated as on July 1, 2026)",All India Financial Institutions
All India Financial Institutions,Know Your Customer,Know Your Customer,md_12969,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/335MDB36143CAC69041858F40094B961AD8D1.PDF,"Reserve Bank of India (All India Financial Institutions – Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)",All India Financial Institutions
All India Financial Institutions,Financial Statements: Presentation and Disclosures,Financial Statements: Presentation and Disclosures,md_12970,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/334MDBA729BB698594DF88D0C0F8AD14D6051.PDF,"Reserve Bank of India (All India Financial Institutions – Financial Statements: Presentation and Disclosures) Directions, 2025 (Updated as on April 1, 2026)",All India Financial Institutions
All India Financial Institutions,Treatment of Wilful Defaulters and Large Defaulters,Treatment of Wilful Defaulters and Large Defaulters,md_12971,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/333MD5058C30FAE2B4BF7A6FA46FBF5BA1860.PDF,"Reserve Bank of India (All India Financial Institutions – Treatment of Wilful Defaulters and Large Defaulters) Directions, 2025",All India Financial Institutions
All India Financial Institutions,Resolution of Stressed Assets,Resolution of Stressed Assets,md_12972,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/332MD172466A0BC46438DB5E53C03F90E5D97.PDF,"Reserve Bank of India (All India Financial Institutions – Resolution of Stressed Assets) Directions, 2025 (Updated as on July 1, 2026)",All India Financial Institutions
All India Financial Institutions,"Income Recognition, Asset Classification and Provisioning","Income Recognition, Asset Classification and Provisioning",md_12973,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/331MD8F94924174D045A9A61DB7472C935BBB.PDF,"Reserve Bank of India (All India Financial Institutions – Income Recognition, Asset Classification and Provisioning) Directions, 2025 (Updated as on July 01, 2026)",All India Financial Institutions
All India Financial Institutions,Asset Liability Management,Asset Liability Management,md_12974,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/330MD8EE03EACE9C840B78782487A56262606.PDF,"Reserve Bank of India (All India Financial Institutions – Asset Liability Management) Directions, 2025",All India Financial Institutions
All India Financial Institutions,"Classification, Valuation and Operation of Investment Portfolio","Classification, Valuation and Operation of Investment Portfolio",md_12975,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/329MDB471ED6596B74577A0D9BC3296ECC859.PDF,"Reserve Bank of India (All India Financial Institutions – Classification, Valuation and Operation of Investment Portfolio) Directions, 2025",All India Financial Institutions
All India Financial Institutions,Securitisation Transactions,Securitisation Transactions,md_12976,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/328MDCA89E7AD35574A5E8A94F83F329293A2.PDF,"Reserve Bank of India (All India Financial Institutions – Securitisation Transactions) Directions, 2025",All India Financial Institutions
All India Financial Institutions,Transfer and Distribution of Credit Risk,Transfer and Distribution of Credit Risk,md_12977,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/327MD7EA8E880A8D64D06B8AE74D8EDF60F17.PDF,"Reserve Bank of India (All India Financial Institutions – Transfer and Distribution of Credit Risk) Directions, 2025",All India Financial Institutions
All India Financial Institutions,Concentration Risk Management,Concentration Risk Management,md_12978,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/326MD7CB162D66FB043AFA384B6ED63EFA5D7.PDF,"Reserve Bank of India (All India Financial Institutions – Concentration Risk Management) Directions, 2025",All India Financial Institutions
All India Financial Institutions,Credit Risk Management,Credit Risk Management,md_12979,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/325MD9D1E9340756A42F183443F73A0B46998.PDF,"Reserve Bank of India (All India Financial Institutions – Credit Risk Management) Directions, 2025 (Updated as on July 01, 2026)",All India Financial Institutions
All India Financial Institutions,Credit Information Reporting,Credit Information Reporting,md_12980,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/324MD7A26BF797952433E8A8D59AA98A79999.PDF,"Reserve Bank of India (All India Financial Institutions – Credit Information Reporting) Directions, 2025 (Updated as on July 01, 2026)",All India Financial Institutions
All India Financial Institutions,Credit Facilities,Credit Facilities,md_12981,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/323MDC03F7527B77E43B586042F9F3104C2B7.PDF,"Reserve Bank of India (All India Financial Institutions – Credit Facilities) Directions, 2025 (Updated as on July 15, 2026)",All India Financial Institutions
All India Financial Institutions,Resource Raising Norms,Resource Raising Norms,md_12982,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/322MD52B038D169F34D5C9851D5F02E1C7044.PDF,"Reserve Bank of India (All India Financial Institutions– Resource Raising Norms) Directions, 2025",All India Financial Institutions
All India Financial Institutions,Prudential Norms on Capital Adequacy,Prudential Norms on Capital Adequacy,md_12983,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/321MDD26060BC94C943C8B5907F5E328E0F1B.PDF,"Reserve Bank of India (All India Financial Institutions - Prudential Norms on Capital Adequacy) Directions, 2025 (Updated as on June 16, 2026)",All India Financial Institutions
All India Financial Institutions,Undertaking of Financial Services,Undertaking of Financial Services,md_12984,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/320MDC5714911D38A471980DD2D5D9DB3AECD.PDF,"Reserve Bank of India (All India Financial Institutions – Undertaking of Financial Services) Directions, 2025 (Updated as on April 27, 2026)",All India Financial Institutions
Non-Banking Financial Companies,Miscellaneous,Miscellaneous,md_12931,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/373MD7F3656C99F764E2F9CE1BC4A1337861F.PDF,"Reserve Bank of India (Non-Banking Financial Companies – Miscellaneous) Directions, 2025 (Updated as on February 26, 2026)",Non-Banking Financial Companies
Non-Banking Financial Companies,(Non-Operative Financial Holding Companies),(Non-Operative Financial Holding Companies),md_12932,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/372MD72894C1BCD6646C582BDF57824ED849B.PDF,"Reserve Bank of India (Non-Operative Financial Holding Companies) Directions, 2025 (Updated as on December 05, 2025)",Non-Banking Financial Companies
Non-Banking Financial Companies,Microfinance Institution,Microfinance Institution,md_12933,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/371MD93444E1CFB2749C6A9F8F0182794522B.PDF,"Reserve Bank of India (Non-Banking Financial Companies – Microfinance Institution) Directions, 2025",Non-Banking Financial Companies
Non-Banking Financial Companies,Peer to Peer Lending Platform,Peer to Peer Lending Platform,md_12934,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/370MD60843CF99DE6468CA026BF367311796E.PDF,"Reserve Bank of India (Non-Banking Financial Companies – Peer to Peer Lending Platform) Directions, 2025",Non-Banking Financial Companies
Non-Banking Financial Companies,(Mortgage Guarantee Companies),(Mortgage Guarantee Companies),md_12935,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/369MD595FB8D5A60A4858AEADC3DA61569214.PDF,"Reserve Bank of India (Mortgage Guarantee Companies) Directions, 2025 (Updated as on March 10, 2026)",Non-Banking Financial Companies
Non-Banking Financial Companies,Account Aggregator,Account Aggregator,md_12936,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/368MDA3A72C813679452CB0A291E6B300DB59.PDF,"Reserve Bank of India (Non-Banking Financial Companies - Account Aggregator) Directions, 2025",Non-Banking Financial Companies
Non-Banking Financial Companies,(Core Investment Companies),(Core Investment Companies),md_12937,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/367MD6F29605A9F984829B1DDFA72799197BB.PDF,"Reserve Bank of India (Core Investment Companies) Directions, 2025 (Updated as on March 10, 2026)",Non-Banking Financial Companies
Non-Banking Financial Companies,(Standalone Primary Dealers),(Standalone Primary Dealers),md_12938,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/366MDF8A3AEF00BF24FFC8FA8F1B096F8E054.PDF,"Reserve Bank of India (Standalone Primary Dealers) Directions, 2025 (Updated as on March 10, 2026)",Non-Banking Financial Companies
Non-Banking Financial Companies,(Housing Finance Companies),(Housing Finance Companies),md_12939,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/365MD8214102C853241B98E06B2123AB42657.PDF,"Reserve Bank of India (Housing Finance Companies) Directions, 2025 (Updated as on April 15, 2026)",Non-Banking Financial Companies
Non-Banking Financial Companies,Climate Finance and Management of Climate Change Risks,Climate Finance and Management of Climate Change Risks,md_12940,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/364MD89C593EA3A124B1491E797D1A752110F.PDF,"Reserve Bank of India (Non-Banking Financial Companies – Climate Finance and Management of Climate Change Risks) Directions, 2025",Non-Banking Financial Companies
Non-Banking Financial Companies,Managing Risks in Outsourcing,Managing Risks in Outsourcing,md_12941,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/363MD40F22B0CDF734E3C884A9CBCE5DF9194.PDF,"Reserve Bank of India (Non-Banking Financial Companies – Managing Risks in Outsourcing) Directions, 2025",Non-Banking Financial Companies
Non-Banking Financial Companies,Responsible Business Conduct,Responsible Business Conduct,md_12942,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/362MD26CA543937BA439A97E1BCFC08CF5808.PDF,"Reserve Bank of India (Non-Banking Financial Companies – Responsible Business Conduct) Directions, 2025 (Updated as on July 1, 2026)",Non-Banking Financial Companies
Non-Banking Financial Companies,Know Your Customer,Know Your Customer,md_12943,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/361MD1E2F8EA063454AD5AFA1D02A1BA5ACA7.PDF,"Reserve Bank of India (Non-Banking Financial Companies – Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)",Non-Banking Financial Companies
Non-Banking Financial Companies,Prudential Norms on Declaration of Dividends,Prudential Norms on Declaration of Dividends,md_12944,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/360MD1E07039E1DCA455B8CCB9D0C4BFD4BBE.PDF,"Reserve Bank of India (Non-Banking Financial Companies – Prudential Norms on Declaration of Dividends) Directions, 2025 (Updated as on July 01, 2026)",Non-Banking Financial Companies
Non-Banking Financial Companies,Financial Statements: Presentation and Disclosures,Financial Statements: Presentation and Disclosures,md_12945,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/359MD22B81FAE1AB9481BA79541602ADD032D.PDF,"Reserve Bank of India (Non-Banking Financial Companies – Financial Statements: Presentation and Disclosures) Directions, 2025 (Updated as on July 01, 2026)",Non-Banking Financial Companies
